Tanggal,Jumlah Penumpang,Periode
1/1/2014,47987,1
2/1/2014,47589,1
3/1/2014,50027,1
4/1/2014,46301,1
5/1/2014,51889,1
6/1/2014,54817,1
7/1/2014,42544,1
8/1/2014,58789,1
9/1/2014,54855,1
10/1/2014,52518,1
11/1/2014,52297,1
12/1/2014,57984,1
1/1/2015,47987,2
2/1/2015,47589,2
3/1/2015,50027,2
4/1/2015,46301,2
5/1/2015,51889,2
6/1/2015,54817,2
7/1/2015,42544,2
8/1/2015,58789,2
9/1/2015,54855,2
10/1/2015,52518,2
11/1/2015,52297,2
12/1/2015,57984,2
1/1/2016,67549,3
2/1/2016,66136,3
3/1/2016,71366,3
4/1/2016,72420,3
5/1/2016,79222,3
6/1/2016,76631,3
7/1/2016,87899,3
8/1/2016,75710,3
9/1/2016,73220,3
10/1/2016,74813,3
11/1/2016,76767,3
12/1/2016,95956,3
1/1/2017,88164,4
2/1/2017,76767,4
3/1/2017,94570,4
4/1/2017,86557,4
5/1/2017,105516,4
6/1/2017,91007,4
7/1/2017,133685,4
8/1/2017,107517,4
9/1/2017,113221,4
10/1/2017,116735,4
11/1/2017,111915,4
12/1/2017,128098,4
1/1/2018,110466,5
2/1/2018,106672,5
3/1/2018,117545,5
4/1/2018,115736,5
5/1/2018,96929,5
6/1/2018,112658,5
7/1/2018,117779,5
8/1/2018,101826,5
9/1/2018,101826,5
10/1/2018,112612,5
11/1/2018,96369,5
12/1/2018,97288,5
